word,score
from_my,-0.09274879039495561
i_purchased,-0.09270671920567947
many_bad,-0.09263063020288
uses,-0.09257729850295325
complaints,0.09257184442823836
do_not,-0.09254203977591144
warranty,-0.09243285963280466
hang,-0.09225555683668397
here,0.09192595866745316
had_no,0.0919109914365781
to_get,-0.0917224888852751
fm,-0.0912858107165051
simple,0.09123951152882256
handy,0.09110472779744046
quickly,0.0910920839090317
works_great,0.09091549877797395
extra,0.09089482712418852
stopped_working,-0.09081476972769888
microphone,-0.09074452062224281
headset,0.09074114649896162
plug,-0.09071708210651429
lot_of,0.0904417364684572
and_buy,-0.09043099612186944
good_but,-0.09039034815395477
t_had,0.09019481185165638
tiny,-0.09003909905529046
live,-0.09000952676498702
use_it,0.08985203765310967
more,-0.08976774781874508
great_but,-0.08974500967549592
failed_the,-0.08964839950644743
headset_is,0.08962730146408215
matter,-0.08941882874514953
on_my,0.08884888048078794
so_far,0.08849266623595532
sell,-0.08839824168685129
can_get,0.08825474392467969
i_am,0.08817083679393152
coming,-0.08816088577761486
the_job,0.08807183051393715
times,-0.08774725409970685
apple_airport,-0.08772100731983165
keep,-0.08766592383395792
them,-0.08762802868893921
base,0.08723951170397976
charging,-0.08698585832716782
the_item,0.08686376755975075
too_much,0.08683266416849968
what_it,0.08669216358027512
transmitter,-0.08649777220672265
if_you,0.08621311597270631
pixels,0.08597298045067352
dead_pixels,0.08597298045067352
toner,0.08583862109511584
handle,-0.08578027471894711
batteries_for,0.08564409845083917
ever,0.08555746434870616
replaced,-0.08531741269620038
get_it,-0.08527346629641533
too_good,-0.08517716584687139
files,-0.0851671311644047
nano,-0.08514442214401324
gift,0.08502263900846607
feedback,-0.08494295628788287
horrible_feedback,-0.08494295628788287
is_fantastic,0.08491911561763497
almost,-0.08490975402648131
you_want,0.08490652318523229
brand,0.08458003191258485
look,-0.08454445051697781
ink_cartridge,0.08441089549251406
to_install,0.08434162345844096
no_way,-0.08430072756764713
t_bother,-0.08423935512199848
bother,-0.08423935512199848
capacity,0.0838435505835172
disappointing,-0.08360678378945817
s_worth,0.08359633136626006
it_keeps,-0.08344171796126447
battery,0.0833057124109924
digital,0.0832254894071413
only_thing,0.08314822572134242
work_well,-0.08313691047223684
such,0.08305869001999362
plasma,0.0827835138661294
